0,FC Metalurh Donetsk
1,FC Shakhtar Donetsk
2,BV Borussia 09 Dortmund
3,Manchester United FC
4,Arsenal FC
5,Arsenal FC Under 18 Academy
6,Arsenal Under 23
7,Bolton Wanderers FC
8,FC Lorient
9,Olympique Lyonnais
10,Lille OSC Métropole
11,AS Monaco FC
12,AS Saint-Étienne
13,VfB Stuttgart 1893
14,Bayer 04 Leverkusen
15,Everton FC
16,UC Sampdoria
17,Valencia CF
18,Genoa CFC
19,AC Milan
20,SV Werder Bremen
21,Arsenal FC Under 19
22,Watford FC
23,Real Club Deportivo Mallorca
24,FC Basel 1893
25,Borussia VfL Mönchengladbach
26,Delfino Pescara 1936
27,Nottingham Forest FC
