,matchName,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019
0,H. Mkhitaryan,FC Metalurh Donetsk (Transfer),FC Shakhtar Donetsk (Transfer),FC Shakhtar Donetsk (Transfer),FC Shakhtar Donetsk (Transfer),BV Borussia 09 Dortmund (Transfer),BV Borussia 09 Dortmund (Transfer),BV Borussia 09 Dortmund (Transfer),Manchester United FC (Transfer),Manchester United FC (Transfer),Arsenal FC (Player Swap)
1,T. John-Jules,/,/,/,/,/,/,/,Arsenal FC Under 18 Academy (Transfer),Arsenal Under 23 (Transfer),Arsenal FC (Unknown)
2,R. Holding,/,/,/,/,/,/,Bolton Wanderers FC (Back from Loan),Arsenal FC (Transfer),Arsenal FC (Transfer),Arsenal FC (Transfer)
3,M. Guendouzi,/,/,/,/,/,/,/,FC Lorient (Transfer),FC Lorient (Transfer),Arsenal FC (Transfer)
4,A. Lacazette,Olympique Lyonnais (Transfer),Olympique Lyonnais (Transfer),Olympique Lyonnais (Transfer),Olympique Lyonnais (Transfer),Olympique Lyonnais (Transfer),Olympique Lyonnais (Transfer),Olympique Lyonnais (Transfer),Olympique Lyonnais (Transfer),Arsenal FC (Transfer),Arsenal FC (Transfer)
5,P. Aubameyang,Lille OSC Métropole (Loan),AS Monaco FC (Loan),/,AS Saint-Étienne (Transfer),BV Borussia 09 Dortmund (Transfer),BV Borussia 09 Dortmund (Transfer),BV Borussia 09 Dortmund (Transfer),BV Borussia 09 Dortmund (Transfer),BV Borussia 09 Dortmund (Transfer),Arsenal FC (Transfer)
6,B. Leno,/,VfB Stuttgart 1893 (nan),Bayer 04 Leverkusen (Transfer),Bayer 04 Leverkusen (Transfer),Bayer 04 Leverkusen (Transfer),Bayer 04 Leverkusen (Transfer),Bayer 04 Leverkusen (Transfer),Bayer 04 Leverkusen (Transfer),Bayer 04 Leverkusen (Transfer),Arsenal FC (Transfer)
7,S. Mustafi,Everton FC (nan),Everton FC (nan),Everton FC (nan),UC Sampdoria (Free Transfer),UC Sampdoria (Free Transfer),Valencia CF (Transfer),Valencia CF (Transfer),Arsenal FC (Transfer),Arsenal FC (Transfer),Arsenal FC (Transfer)
8,S. Papastathopoulos,Genoa CFC (Transfer),AC Milan (Transfer),SV Werder Bremen (Loan),SV Werder Bremen (Transfer),BV Borussia 09 Dortmund (Transfer),BV Borussia 09 Dortmund (Transfer),BV Borussia 09 Dortmund (Transfer),BV Borussia 09 Dortmund (Transfer),BV Borussia 09 Dortmund (Transfer),Arsenal FC (Transfer)
9,A. Iwobi,/,/,/,Arsenal FC Under 19 (nan),Arsenal FC Under 19 (nan),Arsenal FC Under 19 (nan),Arsenal FC Under 19 (nan),Arsenal FC (Unknown),Arsenal FC (Unknown),Arsenal FC (Unknown)
10,C. Gilmour,/,/,/,/,/,/,Arsenal FC Under 19 (Transfer),Arsenal FC Under 18 Academy (Transfer),Arsenal FC (Transfer),Arsenal FC (Transfer)
11,Bellerín,/,/,/,Arsenal FC Under 19 (Transfer),Watford FC (Loan),Arsenal FC (Unknown),Arsenal FC (Unknown),Arsenal FC (Unknown),Arsenal FC (Unknown),Arsenal FC (Unknown)
12,Julio Pleguezuelo,/,/,/,/,Arsenal FC Under 19 (Transfer),Arsenal FC Under 19 (Transfer),Arsenal FC Under 19 (Transfer),Real Club Deportivo Mallorca (Loan),Arsenal Under 23 (Back from Loan),Arsenal FC (Back from Loan)
13,G. Xhaka,/,FC Basel 1893 (nan),FC Basel 1893 (nan),Borussia VfL Mönchengladbach (Transfer),Borussia VfL Mönchengladbach (Transfer),Borussia VfL Mönchengladbach (Transfer),Borussia VfL Mönchengladbach (Transfer),Arsenal FC (Transfer),Arsenal FC (Transfer),Arsenal FC (Transfer)
14,L. Torreira,/,/,/,/,/,Delfino Pescara 1936 (Transfer),Delfino Pescara 1936 (Transfer),UC Sampdoria (Transfer),UC Sampdoria (Transfer),Arsenal FC (Transfer)
15,A. Ramsey,Arsenal FC (Transfer),Nottingham Forest FC (Loan),Arsenal FC (nan),Arsenal FC (nan),Arsenal FC (nan),Arsenal FC (nan),Arsenal FC (nan),Arsenal FC (nan),Arsenal FC (nan),Arsenal FC (nan)
