,id,firstName,lastName,matchName,type,position,lastUpdated,nationality,nationalityId,dateOfBirth,placeOfBirth,countryOfBirthId,countryOfBirth,height,weight,gender,status,foot,age,lastUpdated_year,minutesPlayed
36284,1xscywgyfqisqexmpfvbf9g45,Henrikh,Mkhitaryan,H. Mkhitaryan,player,Midfielder,2018-12-08 16:17:11,Armenia,687vx665s4d88stgnq72a84k6,1989-01-21 00:00:00,Yerevan,687vx665s4d88stgnq72a84k6,Armenia,177.0,75.0,Male,active,both,30.0,2018,1724.0
30858,epoveky29f4wroi3w6p1xcyy1,Tyreece,John-Jules,T. John-Jules,player,Attacker,2018-12-08 15:18:08,England,1fk5l4hkqk12i7zske6mcqju6,2001-02-14 00:00:00,,1fk5l4hkqk12i7zske6mcqju6,England,,,Male,active,,18.0,2018,1198.0
31759,57gg79gxvcfqtaoi0ruog7wmh,Rob,Holding,R. Holding,player,Defender,2018-12-05 20:46:54,England,1fk5l4hkqk12i7zske6mcqju6,1995-09-20 00:00:00,Tameside,1fk5l4hkqk12i7zske6mcqju6,England,189.0,75.0,Male,active,right,24.0,2018,1317.0
33216,asvqr3i5wcjiajxipt1qvldyh,Mattéo,Guendouzi Olié,M. Guendouzi,player,Midfielder,2018-12-08 16:46:13,France,7gww28djs405rfga69smki84o,1999-04-14 00:00:00,,7gww28djs405rfga69smki84o,France,185.0,68.0,Male,active,right,20.0,2018,1260.0
36601,f4cykd65su8xbme6xdc1iw7o5,Alexandre,Lacazette,A. Lacazette,player,Attacker,2018-12-08 16:17:09,France,7gww28djs405rfga69smki84o,1991-05-28 00:00:00,Lyon,7gww28djs405rfga69smki84o,France,175.0,73.0,Male,active,right,28.0,2018,1064.0
29839,actvnm36s31zf8wh8hjikzlqt,Pierre-Emerick,Aubameyang,P. Aubameyang,player,Attacker,2018-12-08 16:46:56,Gabon,6jfjrlsdz5ns00g4gvk9a6xav,1989-06-18 00:00:00,Laval,7gww28djs405rfga69smki84o,France,187.0,80.0,Male,active,right,30.0,2018,1434.0
18756,2f79rc4i712sxstahjkq6pxp1,Bernd,Leno,B. Leno,player,Goalkeeper,2018-12-08 14:03:19,Germany,36min0qztu8eydwvpv8t1is0m,1992-03-04 00:00:00,Bietigheim-Bissingen,36min0qztu8eydwvpv8t1is0m,Germany,190.0,83.0,Male,active,right,27.0,2018,1215.0
19282,7c3ue1a0utnvk7986i3cwk7v9,Shkodran,Mustafi,S. Mustafi,player,Defender,2018-12-08 16:33:36,Germany,36min0qztu8eydwvpv8t1is0m,1992-04-17 00:00:00,Bad Hersfeld,36min0qztu8eydwvpv8t1is0m,Germany,184.0,82.0,Male,active,right,27.0,2018,1577.0
19691,d5orcrqmtqh1xtwfixr7nqp5h,Sokratis,Papastathopoulos,S. Papastathopoulos,player,Defender,2018-12-08 15:46:15,Greece,6lpgd60z890no2v46zdecrcss,1988-06-09 00:00:00,Kalamata,6lpgd60z890no2v46zdecrcss,Greece,186.0,85.0,Male,active,right,31.0,2018,1705.0
33332,8kb5h8df97ju107n9ibigo1cl,Alex,Iwobi,A. Iwobi,player,Midfielder,2018-12-08 16:17:06,Nigeria,63pvdwrsiq5b07mzi8igqei9p,1996-05-03 00:00:00,Lagos,63pvdwrsiq5b07mzi8igqei9p,Nigeria,180.0,75.0,Male,active,right,23.0,2018,1063.0
35804,9ffxv5tu4jknfy1s5dd7xga8l,Charlie,Gilmour,C. Gilmour,player,Midfielder,2018-12-10 18:46:42,Scotland,1xf68d0a8lnnq30hnnn8kr6ut,1999-02-11 00:00:00,Brighton,1fk5l4hkqk12i7zske6mcqju6,England,,,Male,active,,20.0,2018,1088.0
27812,3e8mxxfs5q7gt4lg2beqpkwyd,Héctor,Bellerín Moruno,Bellerín,player,Defender,2018-12-08 14:03:10,Spain,49ih1pwv3ahshdf8uzrimi54c,1995-03-19 00:00:00,Barcelona,49ih1pwv3ahshdf8uzrimi54c,Spain,178.0,74.0,Male,active,right,24.0,2018,1396.0
29173,dc2wi76ipwc5qbq4eggqd1hp1,Julio José,Pleguezuelo Selva,Julio Pleguezuelo,player,Defender,2018-11-30 23:33:22,Spain,49ih1pwv3ahshdf8uzrimi54c,1997-01-26 00:00:00,Palma de Mallorca,49ih1pwv3ahshdf8uzrimi54c,Spain,180.0,,Male,active,right,22.0,2018,1036.0
12289,6264xjr1y00yu7b9j2pknalzp,Granit,Xhaka,G. Xhaka,player,Midfielder,2018-12-08 15:31:18,Switzerland,3bh70jgvc5mn58x0byjkuda17,1992-09-27 00:00:00,Basel,3bh70jgvc5mn58x0byjkuda17,Switzerland,185.0,82.0,Male,active,left,27.0,2018,1736.0
29600,cp5hkhz2p2twjtiw8vphfv9hx,Lucas,Torreira Di Pascua,L. Torreira,player,Midfielder,2018-12-08 16:46:55,Uruguay,286fwlvd6dzntv6ewv3cyvb0p,1996-02-11 00:00:00,Fray Bentos,286fwlvd6dzntv6ewv3cyvb0p,Uruguay,168.0,64.0,Male,active,right,23.0,2018,1319.0
24729,5o0h8eeydl8t92qp3ywekqh1x,Aaron,Ramsey,A. Ramsey,player,Midfielder,2018-12-05 21:17:18,Wales,26ilvvgth36hmq6lgq8cy5cb5,1990-12-26 00:00:00,Caerphilly,26ilvvgth36hmq6lgq8cy5cb5,Wales,178.0,76.0,Male,active,both,29.0,2018,1268.0
