,id,firstName,lastName,matchName,type,position,lastUpdated,nationality,nationalityId,dateOfBirth,placeOfBirth,countryOfBirthId,countryOfBirth,height,weight,gender,status,foot,age,lastUpdated_year,minutesPlayed
36161,54h69199gtsavspwblux98dsl,Eden,Hazard,E. Hazard,player,Attacker,2018-12-08 19:31:40,Belgium,4wbzjcclyefma1ourvjsu4q2j,1991-01-07 00:00:00,La Louvière,4wbzjcclyefma1ourvjsu4q2j,Belgium,173.0,76.0,Male,active,both,28.0,2018,1619.0
13308,afcwu800ox2u5zx6xaiygg1qt,Willian,Borges da Silva,Willian,player,Attacker,2018-12-08 19:16:57,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,1988-08-09 00:00:00,Ribeirão Pires,2vufyvpoxd9lfl9f6vpp7tz6y,Brazil,175.0,77.0,Male,active,right,31.0,2018,1444.0
14553,7goksqm8rew8chdswsx5cidhx,David Luiz,Moreira Marinho,David Luiz,player,Defender,2018-12-08 19:17:54,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,1987-04-22 00:00:00,Diadema,2vufyvpoxd9lfl9f6vpp7tz6y,Brazil,189.0,84.0,Male,active,right,32.0,2018,1481.0
16082,ehopba709zukxj4vgcync942d,Mateo,Kovačić,M. Kovačić,player,Midfielder,2018-12-08 19:04:00,Croatia,37hlakrwxyuzovaeoo4sezusp,1994-05-06 00:00:00,Linz,hcs1bd49qliqqity6o268jyt,Austria,178.0,78.0,Male,active,right,25.0,2018,1297.0
20932,1av9mmv19jwvc4xdr0p9owyxh,Andreas,Christensen,Andreas Christensen,player,Defender,2018-12-08 16:32:21,Denmark,5adf60vwiw2f2mibyq1k4ex7i,1996-04-10 00:00:00,Lillerød,5adf60vwiw2f2mibyq1k4ex7i,Denmark,188.0,78.0,Male,active,right,23.0,2018,780.0
33180,dxeju5zcb6j8etdgwq0kweor9,Ross,Barkley,R. Barkley,player,Midfielder,2018-12-08 19:03:57,England,1fk5l4hkqk12i7zske6mcqju6,1993-12-05 00:00:00,Liverpool,1fk5l4hkqk12i7zske6mcqju6,England,189.0,76.0,Male,active,right,26.0,2018,1223.0
22211,am70epdl0361z5af8ahskcdsl,N'Golo,Kanté,N. Kanté,player,Midfielder,2018-12-08 18:17:11,France,7gww28djs405rfga69smki84o,1991-03-29 00:00:00,Paris,7gww28djs405rfga69smki84o,France,168.0,68.0,Male,active,right,28.0,2018,2006.0
34010,5awkzgwwh48prwgvxwewuc5hx,Olivier,Giroud,O. Giroud,player,Attacker,2018-12-08 19:31:58,France,7gww28djs405rfga69smki84o,1986-09-30 00:00:00,Chambéry,7gww28djs405rfga69smki84o,France,192.0,93.0,Male,active,left,33.0,2018,1067.0
39077,6fzbp94hf19ysotdassrqdc5x,Antonio,Rüdiger,A. Rüdiger,player,Defender,2018-12-08 16:33:41,Germany,36min0qztu8eydwvpv8t1is0m,1993-03-03 00:00:00,Berlin,36min0qztu8eydwvpv8t1is0m,Germany,190.0,85.0,Male,active,right,26.0,2018,1779.0
7379,9id859f7xnqwj0jazjzkbjzdh,Jorge Luiz,Frello Filho,Jorginho,player,Midfielder,2018-12-08 19:01:18,Italy,25f2cmb2r8mk5rj92tzer6kvv,1991-12-20 00:00:00,Imbituba,2vufyvpoxd9lfl9f6vpp7tz6y,Brazil,180.0,65.0,Male,active,both,28.0,2018,1907.0
688,9ajene9yg36713lisnaix8r85,Francesc,Fàbregas i Soler,Fàbregas,player,Midfielder,2018-12-08 16:32:20,Spain,49ih1pwv3ahshdf8uzrimi54c,1987-05-04 00:00:00,Vilassar de Mar,49ih1pwv3ahshdf8uzrimi54c,Spain,180.0,77.0,Male,active,right,32.0,2018,673.0
1228,6j3wbk9xlq4om4m8ih6b3tyvp,Kepa,Arrizabalaga Revuelta,Kepa,player,Goalkeeper,2018-12-08 16:33:52,Spain,49ih1pwv3ahshdf8uzrimi54c,1994-10-03 00:00:00,Ondárroa,49ih1pwv3ahshdf8uzrimi54c,Spain,187.0,84.0,Male,active,right,25.0,2018,1890.0
25873,9i7lb16qty1t21bnc5h7skclx,Marcos,Alonso Mendoza,Marcos Alonso,player,Defender,2018-12-08 16:33:36,Spain,49ih1pwv3ahshdf8uzrimi54c,1990-12-28 00:00:00,Madrid,49ih1pwv3ahshdf8uzrimi54c,Spain,188.0,84.0,Male,active,left,29.0,2018,1761.0
34931,bvw1jgmhfyc896gfi6uj0skwl,César,Azpilicueta Tanco,Azpilicueta,player,Defender,2018-12-08 16:33:30,Spain,49ih1pwv3ahshdf8uzrimi54c,1989-08-28 00:00:00,Pamplona,49ih1pwv3ahshdf8uzrimi54c,Spain,178.0,78.0,Male,active,right,30.0,2018,1671.0
41867,46kq5653o302ebz4o5yzsss0l,Álvaro Borja,Morata Martín,Álvaro Morata,player,Attacker,2018-12-05 21:17:21,Spain,49ih1pwv3ahshdf8uzrimi54c,1992-10-23 00:00:00,Madrid,49ih1pwv3ahshdf8uzrimi54c,Spain,189.0,85.0,Male,active,both,27.0,2018,1318.0
43450,d02p1ldr57bkxcpmq12vtvhsl,Pedro Eliezer,Rodríguez Ledesma,Pedro,player,Attacker,2018-12-08 19:16:18,Spain,49ih1pwv3ahshdf8uzrimi54c,1987-07-28 00:00:00,Santa Cruz de Tenerife,49ih1pwv3ahshdf8uzrimi54c,Spain,169.0,65.0,Male,active,both,32.0,2018,1199.0
