0,Sint-Truidense VV
1,RSC Anderlecht
2,KSC Lokeren Oost-Vlaanderen
3,Fulham FC
4,Stade de Reims
5,Olympique de Marseille II
6,Olympique de Marseille
7,AS des Employés de Commerce Mimosas
8,FC Paços de Ferreira
9,OGC Nice Côte d'Azur
10,Fulham FC Under 18
11,Southampton FC
12,Arsenal FC
13,Middlesbrough FC
14,Brentford FC
15,Maidenhead United FC
16,Luton Town FC
17,Wycombe Wanderers FC
18,Barnsley FC
19,Swansea City AFC
20,Le Havre AC
21,1. FSV Mainz 05
22,Bayer 04 Leverkusen
23,Chelsea FC
24,VfL Wolfsburg
25,BV Borussia 09 Dortmund
26,FK Bodø / Glimt
27,Strømsgodset IF
28,Celtic FC
29,Coventry City FC
30,Derby County FC
31,Burnley FC
32,Sheffield United FC
33,Wolverhampton Wanderers FC
34,Hull City AFC
35,Blackburn Rovers FC
36,FK Teleoptik Zemun
37,FK Partizan Beograd
38,Newcastle United FC
39,Sevilla Atlético
40,Sevilla FC
