,id,firstName,lastName,matchName,type,position,lastUpdated,nationality,nationalityId,dateOfBirth,placeOfBirth,countryOfBirthId,countryOfBirth,height,weight,gender,status,foot,age,lastUpdated_year,minutesPlayed
35739,bgzvhtk50gvmq6noheadmc34l,Denis,Odoi,D. Odoi,player,Defender,2018-12-08 14:03:13,Belgium,4wbzjcclyefma1ourvjsu4q2j,1988-05-27 00:00:00,Leuven,4wbzjcclyefma1ourvjsu4q2j,Belgium,178.0,67.0,Male,active,right,31.0,2018,1332.0
14023,3bhy6x04rbwzk0nh1fm59dmnd,André-Frank,Zambo Anguissa,A. Zambo Anguissa,player,Midfielder,2018-12-08 16:33:53,Cameroon,4eb9feio6u267dd1jcwaf38mt,1995-11-16 00:00:00,Yaoundé,4eb9feio6u267dd1jcwaf38mt,Cameroon,184.0,78.0,Male,active,right,24.0,2018,910.0
30303,dtr63crfxiujp7cpy9s1nozit,Jean Michaël,Seri,J. Seri,player,Midfielder,2018-12-08 16:31:17,Côte d'Ivoire,tin6kf561ywonqan0mettr98,1991-07-19 00:00:00,Grand-Bereby,tin6kf561ywonqan0mettr98,Côte d'Ivoire,168.0,69.0,Male,active,right,28.0,2018,1355.0
257,cag3gzjcv8erx3zpp2lidzcvd,Kouassi Ryan,Sessegnon,R. Sessegnon,player,Midfielder,2018-12-08 14:03:13,England,1fk5l4hkqk12i7zske6mcqju6,2000-05-18 00:00:00,London,1fk5l4hkqk12i7zske6mcqju6,England,,,Male,active,,19.0,2018,1413.0
7477,cm7l7qimy4iysm1khmpc7u961,Matthew,O'Riley,M. O'Riley,player,Midfielder,2018-12-08 12:31:42,England,1fk5l4hkqk12i7zske6mcqju6,2000-11-21 00:00:00,,1fk5l4hkqk12i7zske6mcqju6,England,,,Male,active,,19.0,2018,1007.0
19232,172klpuv2h1enskc8fz79xg45,Calum,Chambers,C. Chambers,player,Defender,2018-12-05 18:47:07,England,1fk5l4hkqk12i7zske6mcqju6,1995-01-20 00:00:00,Petersfield,1fk5l4hkqk12i7zske6mcqju6,England,182.0,66.0,Male,active,right,24.0,2018,787.0
27762,6beklj8fblcbe9eddqzwm0xrd,Luca,Ashby-Hammond,L. Ashby-Hammond,player,Goalkeeper,2018-12-01 11:02:57,England,1fk5l4hkqk12i7zske6mcqju6,2001-03-25 00:00:00,,1fk5l4hkqk12i7zske6mcqju6,England,,,Male,active,,18.0,2018,900.0
43816,ex186m2z3yp666b1g219a8ted,Alfie,Mawson,A. Mawson,player,Defender,2018-12-08 14:03:22,England,1fk5l4hkqk12i7zske6mcqju6,1994-01-19 00:00:00,London,1fk5l4hkqk12i7zske6mcqju6,England,188.0,81.0,Male,active,right,25.0,2018,795.0
10492,4jal44qeyp9ur58768qre5uqd,Maxime,Le Marchand,M. Le Marchand,player,Defender,2018-12-05 21:31:28,France,7gww28djs405rfga69smki84o,1989-10-11 00:00:00,Saint-Malo,7gww28djs405rfga69smki84o,France,181.0,68.0,Male,active,right,30.0,2018,1148.0
11174,9i27khxic3mqu323v3tasr4r9,André,Schürrle,A. Schürrle,player,Midfielder,2018-12-08 16:33:51,Germany,36min0qztu8eydwvpv8t1is0m,1990-11-06 00:00:00,Ludwigshafen,36min0qztu8eydwvpv8t1is0m,Germany,184.0,73.0,Male,active,right,29.0,2018,1175.0
5519,ebssxy4nh55kjuw1zzvd4bqvp,Stefan Marius,Johansen,S. Johansen,player,Midfielder,2018-12-08 14:02:11,Norway,7f16iy4w8u8ogyn6pfooqwv5z,1991-01-08 00:00:00,Vardø,7f16iy4w8u8ogyn6pfooqwv5z,Norway,182.0,78.0,Male,active,left,28.0,2018,822.0
13247,a7syjsguhbvxl3uw8em91or85,Cyrus,Christie,C. Christie,player,Defender,2018-12-08 14:02:13,Republic of Ireland,63nepb66un7juhglo2g6rezcl,1992-09-30 00:00:00,Coventry,1fk5l4hkqk12i7zske6mcqju6,England,188.0,78.0,Male,active,right,27.0,2018,1295.0
4845,ec2bbo1w8byyuk15u9xrbzmqd,Kevin,McDonald,K. McDonald,player,Midfielder,2018-11-17 23:58:18,Scotland,1xf68d0a8lnnq30hnnn8kr6ut,1988-11-04 00:00:00,Carnoustie,1xf68d0a8lnnq30hnnn8kr6ut,Scotland,188.0,82.0,Male,active,right,31.0,2018,842.0
18081,cgvp2cli2gi4cnyl62kt80r11,Tom,Cairney,T. Cairney,player,Midfielder,2018-12-08 16:17:06,Scotland,1xf68d0a8lnnq30hnnn8kr6ut,1991-01-20 00:00:00,Nottingham,1fk5l4hkqk12i7zske6mcqju6,England,183.0,72.0,Male,active,left,28.0,2018,796.0
15040,b27pmpcvny40pkcx87tdddsyd,Aleksandar,Mitrović,A. Mitrović,player,Attacker,2018-12-08 16:16:23,Serbia,5w4ve503bjdsshwx9ho6jxzx0,1994-09-16 00:00:00,Smederevo,5w4ve503bjdsshwx9ho6jxzx0,Serbia,187.0,90.0,Male,active,right,25.0,2018,2015.0
9739,ckjcm9q26zd6q8tkq0go6oxcl,Sergio,Rico González,Sergio Rico,player,Goalkeeper,2018-12-08 14:03:22,Spain,49ih1pwv3ahshdf8uzrimi54c,1993-09-01 00:00:00,Sevilla,49ih1pwv3ahshdf8uzrimi54c,Spain,194.0,90.0,Male,active,right,26.0,2018,990.0
