,matchName,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019
0,A. Mooy,/,Saint Mirren FC (nan),Saint Mirren FC (nan),Western Sydney Wanderers FC (Transfer),Western Sydney Wanderers FC (Transfer),Melbourne City FC (Transfer),Melbourne City FC (Transfer),Huddersfield Town FC (Loan),Huddersfield Town FC (Transfer),Huddersfield Town FC (Transfer)
1,L. Depoitre,Sporting Club Eendracht Aalst (nan),Sporting Club Eendracht Aalst (nan),Sporting Club Eendracht Aalst (nan),KV Oostende (Free Transfer),KV Oostende (Free Transfer),KAA Gent (Free Transfer),KAA Gent (Free Transfer),FC Porto (Transfer),Huddersfield Town FC (Transfer),Huddersfield Town FC (Transfer)
2,I. Mbenza,/,/,/,/,Valenciennes FC II (Transfer),Valenciennes FC (Transfer),Valenciennes FC (Transfer),Royal Standard de Liège (Transfer),Montpellier HSC (Transfer),Huddersfield Town FC (Loan)
3,S. Mounié,Montpellier HSC II (Transfer),Montpellier HSC II (Transfer),Montpellier HSC II (Transfer),Montpellier HSC II (Transfer),Montpellier HSC II (Transfer),Montpellier HSC II (Transfer),Nîmes Olympique (Loan),Montpellier HSC (Back from Loan),Huddersfield Town FC (Transfer),Huddersfield Town FC (Transfer)
4,E. Kachunga,/,Borussia VfL Mönchengladbach (nan),Borussia VfL Mönchengladbach (nan),/,SC Paderborn 07 (Loan),SC Paderborn 07 (Transfer),FC Ingolstadt 04 (Transfer),Huddersfield Town FC (Loan),Huddersfield Town FC (Transfer),Huddersfield Town FC (Transfer)
5,M. Jørgensen,FC København (Transfer),FC København (Transfer),FC København (Transfer),PSV Eindhoven (Free Transfer),PSV Eindhoven (Free Transfer),FC København (Transfer),FC København (Transfer),FC København (Transfer),Huddersfield Town FC (Transfer),Huddersfield Town FC (Transfer)
6,J. Lössl,FC Midtjylland (nan),FC Midtjylland (nan),FC Midtjylland (nan),FC Midtjylland (nan),FC Midtjylland (nan),En Avant Guingamp (Transfer),En Avant Guingamp (Transfer),1. FSV Mainz 05 (Transfer),Huddersfield Town FC (Loan),Huddersfield Town FC (Transfer)
7,P. Billing,/,/,/,/,/,Huddersfield Town FC (Unknown),Huddersfield Town FC (Unknown),Huddersfield Town FC (Unknown),Huddersfield Town FC (Unknown),Huddersfield Town FC (Unknown)
8,A. Pritchard,/,/,Tottenham Hotspur FC (nan),Tottenham Hotspur FC Under 19 (nan),Swindon Town FC (Loan),Brentford FC (Loan),Tottenham Hotspur FC (Back from Loan),Norwich City FC (Transfer),Norwich City FC (Transfer),Huddersfield Town FC (Transfer)
9,J. Hogg,Darlington FC (Loan),/,Watford FC (Free Transfer),Watford FC (Free Transfer),Huddersfield Town FC (Free Transfer),Huddersfield Town FC (Free Transfer),Huddersfield Town FC (Free Transfer),Huddersfield Town FC (Free Transfer),Huddersfield Town FC (Free Transfer),Huddersfield Town FC (Free Transfer)
10,T. Smith,/,/,Manchester City FC Under 19 (nan),Huddersfield Town FC (nan),Huddersfield Town FC (nan),Huddersfield Town FC (nan),Huddersfield Town FC (nan),Huddersfield Town FC (nan),Huddersfield Town FC (nan),Huddersfield Town FC (nan)
11,E. Durm,/,1. FSV Mainz 05 II (nan),1. FSV Mainz 05 II (nan),BV Borussia 09 Dortmund II (Transfer),BV Borussia 09 Dortmund (Free Transfer),BV Borussia 09 Dortmund (Free Transfer),BV Borussia 09 Dortmund (Free Transfer),BV Borussia 09 Dortmund (Free Transfer),BV Borussia 09 Dortmund (Free Transfer),Huddersfield Town FC (Transfer)
12,C. Schindler,TSV 1860 München II (Transfer),TSV 1860 München (nan),TSV 1860 München (nan),TSV 1860 München (nan),TSV 1860 München (nan),TSV 1860 München (nan),TSV 1860 München (nan),Huddersfield Town FC (Transfer),Huddersfield Town FC (Transfer),Huddersfield Town FC (Transfer)
13,C. Löwe,Chemnitzer FC (nan),Chemnitzer FC (nan),BV Borussia 09 Dortmund (Transfer),BV Borussia 09 Dortmund (Transfer),1. FC Kaiserslautern (Transfer),1. FC Kaiserslautern (Transfer),1. FC Kaiserslautern (Transfer),Huddersfield Town FC (Free Transfer),Huddersfield Town FC (Free Transfer),Huddersfield Town FC (Free Transfer)
14,T. Kongolo,/,/,Feyenoord Rotterdam (Transfer),Feyenoord Rotterdam (Transfer),Feyenoord Rotterdam (Transfer),Feyenoord Rotterdam (Transfer),Feyenoord Rotterdam (Transfer),Feyenoord Rotterdam (Transfer),AS Monaco FC (Transfer),Huddersfield Town FC (Transfer)
15,F. Hadergjonaj,/,/,/,/,BSC Young Boys (nan),BSC Young Boys (nan),BSC Young Boys (nan),FC Ingolstadt 04 (Transfer),Huddersfield Town FC (Loan),Huddersfield Town FC (Transfer)
