,matchName,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019
0,Alisson,/,/,/,SC Internacional (Transfer),SC Internacional (Transfer),SC Internacional (Transfer),SC Internacional (Transfer),AS Roma (Transfer),AS Roma (Transfer),Liverpool FC (Transfer)
1,Roberto Firmino,Figueirense FC (nan),Figueirense FC (nan),TSG 1899 Hoffenheim (Transfer),TSG 1899 Hoffenheim (Transfer),TSG 1899 Hoffenheim (Transfer),TSG 1899 Hoffenheim (Transfer),Liverpool FC (Transfer),Liverpool FC (Transfer),Liverpool FC (Transfer),Liverpool FC (Transfer)
2,D. Lovren,GNK Dinamo Zagreb (Back from Loan),Olympique Lyonnais (Transfer),Olympique Lyonnais (Transfer),Olympique Lyonnais (Transfer),Southampton FC (Transfer),Liverpool FC (Transfer),Liverpool FC (Transfer),Liverpool FC (Transfer),Liverpool FC (Transfer),Liverpool FC (Transfer)
3,Mohamed Salah,/,Al Mokawloon Al Arab (nan),Al Mokawloon Al Arab (nan),FC Basel 1893 (Transfer),FC Basel 1893 (Transfer),Chelsea FC (Transfer),AS Roma (Loan),AS Roma (Transfer),Liverpool FC (Transfer),Liverpool FC (Transfer)
4,T. Alexander-Arnold,/,/,/,/,/,Liverpool FC Under 19 (nan),Liverpool FC Under 19 (nan),Liverpool FC (Transfer),Liverpool FC (Transfer),Liverpool FC (Transfer)
5,J. Henderson,Sunderland AFC (Back from Loan),Sunderland AFC (Back from Loan),Liverpool FC (Transfer),Liverpool FC (Transfer),Liverpool FC (Transfer),Liverpool FC (Transfer),Liverpool FC (Transfer),Liverpool FC (Transfer),Liverpool FC (Transfer),Liverpool FC (Transfer)
6,J. Gomez,/,/,/,/,/,Charlton Athletic FC (Transfer),Liverpool FC (Transfer),Liverpool FC (Transfer),Liverpool FC (Transfer),Liverpool FC (Transfer)
7,J. Milner,Aston Villa FC (Transfer),Manchester City FC (Transfer),Manchester City FC (Transfer),Manchester City FC (Transfer),Manchester City FC (Transfer),Manchester City FC (Transfer),Liverpool FC (Free Transfer),Liverpool FC (Free Transfer),Liverpool FC (Free Transfer),Liverpool FC (Free Transfer)
8,C. Jones,/,/,/,/,/,/,/,Liverpool FC Under 18 Academy (Transfer),Liverpool FC Under 18 Academy (Transfer),Liverpool FC (Unknown)
9,N. Keïta,/,/,/,/,Istres FC (Transfer),FC Salzburg (Transfer),FC Salzburg (Transfer),Rasen Ballsport Leipzig (Transfer),Rasen Ballsport Leipzig (Transfer),Liverpool FC (Transfer)
10,G. Wijnaldum,Feyenoord Rotterdam (nan),Feyenoord Rotterdam (nan),PSV Eindhoven (Transfer),PSV Eindhoven (Transfer),PSV Eindhoven (Transfer),PSV Eindhoven (Transfer),Newcastle United FC (Transfer),Liverpool FC (Transfer),Liverpool FC (Transfer),Liverpool FC (Transfer)
11,V. van Dijk,/,/,FC Groningen (nan),FC Groningen (nan),Celtic FC (Transfer),Celtic FC (Transfer),Southampton FC (Transfer),Southampton FC (Transfer),Southampton FC (Transfer),Liverpool FC (Transfer)
12,Rafael Camacho,/,/,/,/,/,/,/,Liverpool FC Under 18 Academy (Transfer),Liverpool FC Under 18 Academy (Transfer),Liverpool FC (Transfer)
13,A. Robertson,/,/,/,Queen's Park FC (nan),Dundee United FC (Free Transfer),Hull City AFC (Transfer),Hull City AFC (Transfer),Hull City AFC (Transfer),Liverpool FC (Transfer),Liverpool FC (Transfer)
14,S. Mané,/,FC Metz II (nan),FC Metz II (nan),FC Salzburg (Transfer),FC Salzburg (Transfer),Southampton FC (Transfer),Southampton FC (Transfer),Liverpool FC (Transfer),Liverpool FC (Transfer),Liverpool FC (Transfer)
15,X. Shaqiri,FC Basel 1893 (nan),FC Basel 1893 (nan),FC Basel 1893 (nan),FC Bayern München (Transfer),FC Bayern München (Transfer),/,Stoke City FC (Transfer),Stoke City FC (Transfer),Stoke City FC (Transfer),Liverpool FC (Transfer)
