,id,firstName,lastName,matchName,type,position,lastUpdated,nationality,nationalityId,dateOfBirth,placeOfBirth,countryOfBirthId,countryOfBirth,height,weight,gender,status,foot,age,lastUpdated_year,minutesPlayed
2123,53d0pvr7ylvfhp6p749iniqc5,Alisson Ramsés,Becker,Alisson,player,Goalkeeper,2018-12-11 19:01:36,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,1992-10-02 00:00:00,Novo Hamburgo,2vufyvpoxd9lfl9f6vpp7tz6y,Brazil,193.0,91.0,Male,active,,27.0,2018,1980.0
11725,6b9erfx1rf9nff83300tntadx,Roberto Firmino,Barbosa de Oliveira,Roberto Firmino,player,Attacker,2018-12-11 21:46:09,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,1991-10-02 00:00:00,Maceió,2vufyvpoxd9lfl9f6vpp7tz6y,Brazil,181.0,76.0,Male,active,right,28.0,2018,1609.0
15259,z2richg7upw6hth0dzrvm02d,Dejan,Lovren,D. Lovren,player,Defender,2018-12-11 22:01:08,Croatia,37hlakrwxyuzovaeoo4sezusp,1989-07-05 00:00:00,Zenica,4fue8u54361o79fbiu9qwxjer,Bosnia and Herzegovina,188.0,84.0,Male,active,both,30.0,2018,810.0
35483,5ilkkfbsss0bxd6ttdlqg0uz9,Mohamed,Salah Ghaly,Mohamed Salah,player,Attacker,2018-12-11 21:46:07,Egypt,42vt7mha0thcwd0ihw3p29x5i,1992-06-15 00:00:00,Muḥāfaẓat al Gharbiyya,42vt7mha0thcwd0ihw3p29x5i,Egypt,175.0,71.0,Male,active,left,27.0,2018,1831.0
845,19z8jmren3eytg7fbuzqv73kl,Trent,Alexander-Arnold,T. Alexander-Arnold,player,Defender,2018-12-11 22:01:08,England,1fk5l4hkqk12i7zske6mcqju6,1998-10-07 00:00:00,Liverpool,1fk5l4hkqk12i7zske6mcqju6,England,175.0,69.0,Male,active,right,21.0,2018,1556.0
25217,25yu90pekqr1lhs098f3uxy39,Jordan Brian,Henderson,J. Henderson,player,Midfielder,2018-12-11 19:01:27,England,1fk5l4hkqk12i7zske6mcqju6,1990-06-17 00:00:00,Sunderland,1fk5l4hkqk12i7zske6mcqju6,England,182.0,67.0,Male,active,right,29.0,2018,1185.0
32309,29dp5gmu5xbd04mozwxq5tjh1,Joe,Gomez,J. Gomez,player,Defender,2018-12-05 20:16:46,England,1fk5l4hkqk12i7zske6mcqju6,1997-05-23 00:00:00,London,1fk5l4hkqk12i7zske6mcqju6,England,188.0,77.0,Male,active,right,22.0,2018,1722.0
35323,3xqbru6q5dvtrhv6coe7retp1,James Philip,Milner,J. Milner,player,Midfielder,2018-12-11 21:46:15,England,1fk5l4hkqk12i7zske6mcqju6,1986-01-04 00:00:00,Leeds,1fk5l4hkqk12i7zske6mcqju6,England,175.0,70.0,Male,active,right,33.0,2018,1455.0
38691,3kdl679ra6mlobdg09xqf7fft,Curtis,Jones,C. Jones,player,Midfielder,2018-12-11 14:16:15,England,1fk5l4hkqk12i7zske6mcqju6,2001-01-30 00:00:00,,1fk5l4hkqk12i7zske6mcqju6,England,,,Male,active,,18.0,2018,866.0
10891,6onkmsi77t7bvk9tpha472vv9,Naby Deco,Keïta,N. Keïta,player,Midfielder,2018-12-11 21:46:10,Guinea,4i9sg55wigitrfx7290f59ceo,1995-02-10 00:00:00,Conakry,4i9sg55wigitrfx7290f59ceo,Guinea,172.0,64.0,Male,active,right,24.0,2018,757.0
22297,2lyib1m8bhrkcc3ukk12fbefp,Georginio,Wijnaldum,G. Wijnaldum,player,Midfielder,2018-12-11 19:01:31,Netherlands,6hzi5pltnz67q4la8yli9qfv6,1990-11-11 00:00:00,Rotterdam,6hzi5pltnz67q4la8yli9qfv6,Netherlands,175.0,69.0,Male,active,right,29.0,2018,2108.0
43039,dxze3b3fsfl814bjcs7q6wcet,Virgil,van Dijk,V. van Dijk,player,Defender,2018-12-11 20:16:07,Netherlands,6hzi5pltnz67q4la8yli9qfv6,1991-07-08 00:00:00,Breda,6hzi5pltnz67q4la8yli9qfv6,Netherlands,193.0,92.0,Male,active,right,28.0,2018,2305.0
24701,67igt8uzqwb951ro7wpuians9,Rafael Euclides,Soares Camacho,Rafael Camacho,player,Midfielder,2018-12-11 14:16:18,Portugal,1nbm5i9a0403zzvltn17lxinc,2000-05-22 00:00:00,Lisbon,1nbm5i9a0403zzvltn17lxinc,Portugal,175.0,,Male,active,,19.0,2018,1281.0
42778,eziqega9e25bg939pfh4vjp3p,Andrew,Robertson,A. Robertson,player,Defender,2018-12-11 22:01:08,Scotland,1xf68d0a8lnnq30hnnn8kr6ut,1994-03-11 00:00:00,Glasgow,1xf68d0a8lnnq30hnnn8kr6ut,Scotland,178.0,64.0,Male,active,left,25.0,2018,2152.0
30452,cotiiu6mjkfx5xa63nhfbdf4l,Sadio,Mané,S. Mané,player,Attacker,2018-12-11 22:16:08,Senegal,6hhqyhr5cwq2pfprlazyposyk,1992-04-10 00:00:00,Sedhiou,6hhqyhr5cwq2pfprlazyposyk,Senegal,175.0,69.0,Male,active,right,27.0,2018,1787.0
16329,7s1q4rd90gi1gwbko34fuvhlh,Xherdan,Shaqiri,X. Shaqiri,player,Attacker,2018-12-11 19:01:25,Switzerland,3bh70jgvc5mn58x0byjkuda17,1991-10-10 00:00:00,Gjilan,86u6edbqifdjsn49mbp2anw7p,Kosovo,169.0,72.0,Male,active,left,28.0,2018,1143.0
