0,Club Estudiantes de La Plata
1,SSC Napoli
2,Swansea City AFC
3,Newcastle United FC
4,Fluminense FC
5,Chelsea FC
6,Newcastle United Under 23
7,Blackpool FC
8,Nottingham Forest FC
9,FC Seoul
10,Celtic FC
11,Sunderland AFC
12,Aston Villa FC
13,Notts County FC
14,Swindon Town FC
15,AFC Bournemouth
16,Wigan Athletic FC
17,West Ham United FC
18,Hull City AFC
19,MŠK Žilina
20,Esbjerg fB
21,FC Slovan Liberec
22,AC Sparta Praha
23,CD Tenerife
24,FC Wil 1900
25,FC Basel 1893
26,TSG 1899 Hoffenheim
27,Real Club Deportivo de La Coruña
28,Seattle Sounders FC
29,UD Las Palmas
30,Málaga CF
31,FK Rubin Kazan
32,FK Zenit St. Petersburg
33,West Bromwich Albion FC
34,Saint Mirren FC
