,id,firstName,lastName,matchName,type,position,lastUpdated,nationality,nationalityId,dateOfBirth,placeOfBirth,countryOfBirthId,countryOfBirth,height,weight,gender,status,foot,age,lastUpdated_year,minutesPlayed
35504,f54pd3cld0qkc8ol15bk9ye39,Federico,Fernández,F. Fernández,player,Defender,2018-12-09 17:16:53,Argentina,2vovxa97k7v7ofa85dah2xktb,1989-02-21 00:00:00,Tres Algarrobos,2vovxa97k7v7ofa85dah2xktb,Argentina,190.0,83.0,Male,active,right,30.0,2018,1285.0
28122,1jz6a0l9q2v38adtntoe30t1,Robert Kenedy,Nunes do Nascimento,Kenedy,player,Midfielder,2018-12-09 17:48:58,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,1996-02-08 00:00:00,Santa Rita do Sapucaí,2vufyvpoxd9lfl9f6vpp7tz6y,Brazil,182.0,77.0,Male,active,left,23.0,2018,1102.0
5552,1crz8xx50md5dang7twpdk0kp,Callum,Roberts,C. Roberts,player,Attacker,2018-12-10 19:46:36,England,1fk5l4hkqk12i7zske6mcqju6,1997-04-14 00:00:00,,1fk5l4hkqk12i7zske6mcqju6,England,,,Male,active,,22.0,2018,1343.0
7036,9pv566tidfz21e00y4t0mbap5,Sean,Longstaff,S. Longstaff,player,Midfielder,2018-12-10 19:17:21,England,1fk5l4hkqk12i7zske6mcqju6,1997-10-30 00:00:00,Newcastle upon Tyne,1fk5l4hkqk12i7zske6mcqju6,England,181.0,65.0,Male,active,,22.0,2018,1260.0
33504,7z5ugeh3ejhwa3c8tg7idkpud,Jamal,Lascelles,J. Lascelles,player,Defender,2018-12-09 15:02:00,England,1fk5l4hkqk12i7zske6mcqju6,1993-11-11 00:00:00,Derby,1fk5l4hkqk12i7zske6mcqju6,England,188.0,89.0,Male,active,right,26.0,2018,992.0
41205,7rnd1uiknmho0s7a0objtnlcl,Freddie,Woodman,F. Woodman,player,Goalkeeper,2018-12-09 15:01:35,England,1fk5l4hkqk12i7zske6mcqju6,1997-03-04 00:00:00,London,1fk5l4hkqk12i7zske6mcqju6,England,188.0,83.0,Male,active,right,22.0,2018,900.0
9801,bb0zj4rt5l4vjtdzghhj3n7it,Sung-Yeung,Ki,Ki Sung-Yeung,player,Midfielder,2018-12-09 16:31:17,Korea Republic,4vzpxtqkiwx0puygnmayr74di,1989-01-24 00:00:00,Gwangju,4vzpxtqkiwx0puygnmayr74di,Korea Republic,187.0,79.0,Male,active,right,30.0,2018,773.0
30680,c7mccelov1pa1yesyw6297u1h,Ciaran,Clark,C. Clark,player,Defender,2018-12-09 18:01:23,Republic of Ireland,63nepb66un7juhglo2g6rezcl,1989-09-26 00:00:00,Harrow,1fk5l4hkqk12i7zske6mcqju6,England,185.0,88.0,Male,active,left,30.0,2018,857.0
36975,8lst9t1pyjhibrxh7xxl3wn9x,Matt,Ritchie,M. Ritchie,player,Midfielder,2018-12-09 15:02:01,Scotland,1xf68d0a8lnnq30hnnn8kr6ut,1989-09-10 00:00:00,Gosport,1fk5l4hkqk12i7zske6mcqju6,England,172.0,76.0,Male,active,left,30.0,2018,1114.0
21694,1arjfb8y072de1ibdzrsqlaz9,Mohamed,Diamé,M. Diamé,player,Midfielder,2018-12-09 15:02:01,Senegal,6hhqyhr5cwq2pfprlazyposyk,1987-06-14 00:00:00,Créteil,7gww28djs405rfga69smki84o,France,184.0,86.0,Male,active,both,32.0,2018,1416.0
23140,7w4l5mrrrg66wvdd8ndb5zb9x,Martin,Dúbravka,M. Dúbravka,player,Goalkeeper,2018-12-09 15:02:06,Slovakia,7dybe8679n9bgyrcxi383pq3y,1989-01-15 00:00:00,Žilina,7dybe8679n9bgyrcxi383pq3y,Slovakia,190.0,80.0,Male,active,,30.0,2018,1800.0
4964,drwacyyicuhy3heg4j0ipqj85,Ayoze,Pérez Gutiérrez,Ayoze Pérez,player,Attacker,2018-12-09 16:32:17,Spain,49ih1pwv3ahshdf8uzrimi54c,1993-07-29 00:00:00,Santa Cruz de Tenerife,49ih1pwv3ahshdf8uzrimi54c,Spain,178.0,72.0,Male,active,right,26.0,2018,1180.0
16280,dxxc4dioaioidmvamkzqr4b85,Fabian Lukas,Schär,F. Schär,player,Defender,2018-12-05 21:31:09,Switzerland,3bh70jgvc5mn58x0byjkuda17,1991-12-20 00:00:00,Wil,3bh70jgvc5mn58x0byjkuda17,Switzerland,188.0,84.0,Male,active,right,28.0,2018,843.0
33441,269gnyszrb8ezl57m1ampsdlh,DeAndre,Yedlin,D. Yedlin,player,Defender,2018-12-09 17:16:48,USA,7hr2f89v44y65dyu9k92vprwn,1993-07-09 00:00:00,Seattle,7hr2f89v44y65dyu9k92vprwn,USA,172.0,75.0,Male,active,right,26.0,2018,1307.0
38312,20wvh9al53baedfzbzykpvkyd,José Salomón,Rondón Giménez,S. Rondón,player,Attacker,2018-12-09 17:49:03,Venezuela,1er0616j12s9yghuzvsx76d5v,1989-09-16 00:00:00,Caracas,1er0616j12s9yghuzvsx76d5v,Venezuela,186.0,86.0,Male,active,right,30.0,2018,742.0
14993,6otgu2ezmd171skyysl1ku09h,Paul,Dummett,P. Dummett,player,Defender,2018-12-09 15:01:32,Wales,26ilvvgth36hmq6lgq8cy5cb5,1991-09-26 00:00:00,Newcastle upon Tyne,1fk5l4hkqk12i7zske6mcqju6,England,183.0,82.0,Male,active,left,28.0,2018,948.0
