,matchName,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019
0,J. Vertonghen,AFC Ajax (nan),AFC Ajax (nan),AFC Ajax (nan),Tottenham Hotspur FC (Transfer),Tottenham Hotspur FC (Transfer),Tottenham Hotspur FC (Transfer),Tottenham Hotspur FC (Transfer),Tottenham Hotspur FC (Transfer),Tottenham Hotspur FC (Transfer),Tottenham Hotspur FC (Transfer)
1,T. Alderweireld,AFC Ajax (Transfer),AFC Ajax (Transfer),AFC Ajax (Transfer),AFC Ajax (Transfer),Club Atlético de Madrid (Transfer),Southampton FC (Loan),Tottenham Hotspur FC (Transfer),Tottenham Hotspur FC (Transfer),Tottenham Hotspur FC (Transfer),Tottenham Hotspur FC (Transfer)
2,Lucas Moura,/,São Paulo FC (nan),São Paulo FC (nan),São Paulo FC (nan),Paris Saint-Germain FC (Transfer),Paris Saint-Germain FC (Transfer),Paris Saint-Germain FC (Transfer),Paris Saint-Germain FC (Transfer),Paris Saint-Germain FC (Transfer),Tottenham Hotspur FC (Transfer)
3,D. Sánchez,/,/,/,Club Atlético Nacional SA (Transfer),Club Atlético Nacional SA (Transfer),Club Atlético Nacional SA (Transfer),Club Atlético Nacional SA (Transfer),AFC Ajax (Transfer),Tottenham Hotspur FC (Transfer),Tottenham Hotspur FC (Transfer)
4,C. Eriksen,AFC Ajax (Transfer),AFC Ajax (Transfer),AFC Ajax (Transfer),AFC Ajax (Transfer),Tottenham Hotspur FC (Transfer),Tottenham Hotspur FC (Transfer),Tottenham Hotspur FC (Transfer),Tottenham Hotspur FC (Transfer),Tottenham Hotspur FC (Transfer),Tottenham Hotspur FC (Transfer)
5,G. Marsh,/,/,/,/,/,/,/,Tottenham Hotspur FC Under 19 (Transfer),Tottenham Hotspur FC Under 19 (Transfer),Tottenham Hotspur FC (Transfer)
6,T. Eyoma,/,/,/,/,/,/,/,Tottenham Hotspur FC Under 19 (nan),Tottenham Hotspur FC Under 19 (nan),Tottenham Hotspur FC (Transfer)
7,H. Kane,/,/,/,Norwich City FC (Loan),Tottenham Hotspur FC (Back from Loan),Tottenham Hotspur FC (Back from Loan),Tottenham Hotspur FC (Back from Loan),Tottenham Hotspur FC (Back from Loan),Tottenham Hotspur FC (Back from Loan),Tottenham Hotspur FC (Back from Loan)
8,H. Winks,/,/,/,Tottenham Hotspur FC Under 19 (Transfer),/,Tottenham Hotspur FC (Transfer),Tottenham Hotspur FC (Transfer),Tottenham Hotspur FC (Transfer),Tottenham Hotspur FC (Transfer),Tottenham Hotspur FC (Transfer)
9,E. Dier,/,/,/,Sporting Clube de Portugal (Transfer),Sporting Clube de Portugal (Transfer),Tottenham Hotspur FC (Transfer),Tottenham Hotspur FC (Transfer),Tottenham Hotspur FC (Transfer),Tottenham Hotspur FC (Transfer),Tottenham Hotspur FC (Transfer)
10,K. Trippier,Manchester City FC (nan),Barnsley FC (Loan),Burnley FC (Loan),Burnley FC (Transfer),Burnley FC (Transfer),Burnley FC (Transfer),Tottenham Hotspur FC (Transfer),Tottenham Hotspur FC (Transfer),Tottenham Hotspur FC (Transfer),Tottenham Hotspur FC (Transfer)
11,D. Alli,/,/,Milton Keynes Dons FC (nan),Milton Keynes Dons FC (nan),Milton Keynes Dons FC (nan),Milton Keynes Dons FC (nan),Tottenham Hotspur FC (Back from Loan),Tottenham Hotspur FC (Back from Loan),Tottenham Hotspur FC (Back from Loan),Tottenham Hotspur FC (Back from Loan)
12,M. Sissoko,Toulouse FC (nan),Toulouse FC (nan),Toulouse FC (nan),Toulouse FC (nan),Newcastle United FC (Transfer),Newcastle United FC (Transfer),Newcastle United FC (Transfer),Tottenham Hotspur FC (Transfer),Tottenham Hotspur FC (Transfer),Tottenham Hotspur FC (Transfer)
13,H. Lloris,Olympique Lyonnais (Transfer),Olympique Lyonnais (Transfer),Olympique Lyonnais (Transfer),Tottenham Hotspur FC (Transfer),Tottenham Hotspur FC (Transfer),Tottenham Hotspur FC (Transfer),Tottenham Hotspur FC (Transfer),Tottenham Hotspur FC (Transfer),Tottenham Hotspur FC (Transfer),Tottenham Hotspur FC (Transfer)
14,Son Heung-Min,Hamburger SV II (nan),Hamburger SV (nan),Hamburger SV (nan),Hamburger SV (nan),Bayer 04 Leverkusen (Transfer),Bayer 04 Leverkusen (Transfer),Tottenham Hotspur FC (Transfer),Tottenham Hotspur FC (Transfer),Tottenham Hotspur FC (Transfer),Tottenham Hotspur FC (Transfer)
15,B. Davies,/,/,/,Swansea City AFC (Transfer),Swansea City AFC (Transfer),Tottenham Hotspur FC (Transfer),Tottenham Hotspur FC (Transfer),Tottenham Hotspur FC (Transfer),Tottenham Hotspur FC (Transfer),Tottenham Hotspur FC (Transfer)
