,id,firstName,lastName,matchName,type,position,lastUpdated,nationality,nationalityId,dateOfBirth,placeOfBirth,countryOfBirthId,countryOfBirth,height,weight,gender,status,foot,age,lastUpdated_year,minutesPlayed
19525,78fx1xqqtcqm2g4h1dj8beml1,Jan,Vertonghen,J. Vertonghen,player,Defender,2018-12-08 19:03:52,Belgium,4wbzjcclyefma1ourvjsu4q2j,1987-04-24 00:00:00,Sint-Niklaas,4wbzjcclyefma1ourvjsu4q2j,Belgium,189.0,86.0,Male,active,left,32.0,2018,1031.0
31528,9tc6mprxpu2rc5ptlp5ljw7h1,Toby,Alderweireld,T. Alderweireld,player,Defender,2018-12-08 18:47:54,Belgium,4wbzjcclyefma1ourvjsu4q2j,1989-03-02 00:00:00,Wilrijk,4wbzjcclyefma1ourvjsu4q2j,Belgium,186.0,81.0,Male,active,right,30.0,2018,2061.0
5741,8c1r97aweyfc0woefvlfy2l05,Lucas,Rodrigues Moura da Silva,Lucas Moura,player,Midfielder,2018-12-08 21:18:35,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,1992-08-13 00:00:00,São Paulo,2vufyvpoxd9lfl9f6vpp7tz6y,Brazil,172.0,72.0,Male,active,right,27.0,2018,1533.0
19967,4k0ni039sbjs4sqipk4v7k79x,Davinson,Sánchez Mina,D. Sánchez,player,Defender,2018-11-12 02:58:06,Colombia,6kby8rq1p01fg5ds38ckkrcs5,1996-06-12 00:00:00,Caloto,6kby8rq1p01fg5ds38ckkrcs5,Colombia,187.0,81.0,Male,active,right,23.0,2018,1154.0
13369,awda32rw2clw0sjemf7rkcel1,Christian,Dannemann Eriksen,C. Eriksen,player,Midfielder,2018-12-08 21:18:32,Denmark,5adf60vwiw2f2mibyq1k4ex7i,1992-02-14 00:00:00,Middelfart,5adf60vwiw2f2mibyq1k4ex7i,Denmark,175.0,71.0,Male,active,both,27.0,2018,1463.0
1764,46ldqoo40wl5dkxo3e5wao06h,George,Marsh,G. Marsh,player,Midfielder,2018-12-07 12:02:27,England,1fk5l4hkqk12i7zske6mcqju6,1998-11-05 00:00:00,,1fk5l4hkqk12i7zske6mcqju6,England,,,Male,active,,21.0,2018,1322.0
13448,94pt7ikxi5cdjhbqf7vi9xg4p,Timothy,Eyoma,T. Eyoma,player,Defender,2018-12-11 14:31:14,England,1fk5l4hkqk12i7zske6mcqju6,2000-01-29 00:00:00,,1fk5l4hkqk12i7zske6mcqju6,England,,,Male,active,,19.0,2018,1588.0
19052,b9g4qurpll4wizajo95c406hh,Harry,Kane,H. Kane,player,Attacker,2018-12-08 21:31:24,England,1fk5l4hkqk12i7zske6mcqju6,1993-07-28 00:00:00,London,1fk5l4hkqk12i7zske6mcqju6,England,188.0,86.0,Male,active,right,26.0,2018,2170.0
19804,5qfa3h4gut5jlnfkexq5m1djp,Harry,Winks,H. Winks,player,Midfielder,2018-12-08 18:47:53,England,1fk5l4hkqk12i7zske6mcqju6,1996-02-02 00:00:00,Hemel Hempstead,1fk5l4hkqk12i7zske6mcqju6,England,178.0,65.0,Male,active,right,23.0,2018,1188.0
27250,az7wa6km1zhvsb8y4mndlogyd,Eric,Dier,E. Dier,player,Midfielder,2018-12-08 20:01:15,England,1fk5l4hkqk12i7zske6mcqju6,1994-01-15 00:00:00,Cheltenham,1fk5l4hkqk12i7zske6mcqju6,England,188.0,88.0,Male,active,right,25.0,2018,1633.0
31400,65z99j774kjnbf7vm0u2q0jit,Kieran,Trippier,K. Trippier,player,Defender,2018-12-05 21:46:17,England,1fk5l4hkqk12i7zske6mcqju6,1990-09-19 00:00:00,Bury,1fk5l4hkqk12i7zske6mcqju6,England,178.0,71.0,Male,active,right,29.0,2018,1367.0
31737,48hur5fmszaqltysykkb4js2d,Bamidele,Alli,D. Alli,player,Midfielder,2018-12-08 21:02:24,England,1fk5l4hkqk12i7zske6mcqju6,1996-04-11 00:00:00,Milton Keynes,1fk5l4hkqk12i7zske6mcqju6,England,188.0,76.0,Male,active,right,23.0,2018,1186.0
12504,oc04nz0mrmzeqpcbql3rbhlh,Moussa,Sissoko,M. Sissoko,player,Midfielder,2018-12-08 18:47:59,France,7gww28djs405rfga69smki84o,1989-08-16 00:00:00,Le Blanc-Mesnil,7gww28djs405rfga69smki84o,France,187.0,83.0,Male,active,right,30.0,2018,1037.0
44055,ombvyo6p3p5khkn91vubvpat,Hugo,Lloris,H. Lloris,player,Goalkeeper,2018-12-08 18:47:53,France,7gww28djs405rfga69smki84o,1986-12-26 00:00:00,Nice,7gww28djs405rfga69smki84o,France,188.0,82.0,Male,active,left,33.0,2018,1519.0
11474,12ekwo6gbza410blv4b4r7ydx,Heung-Min,Son,Son Heung-Min,player,Attacker,2018-12-08 21:31:30,Korea Republic,4vzpxtqkiwx0puygnmayr74di,1992-07-08 00:00:00,Chuncheon,4vzpxtqkiwx0puygnmayr74di,Korea Republic,183.0,78.0,Male,active,both,27.0,2018,1079.0
26998,7qy1hiitksyuaa9l0irxg240l,Ben,Davies,B. Davies,player,Defender,2018-12-08 18:47:54,Wales,26ilvvgth36hmq6lgq8cy5cb5,1993-04-24 00:00:00,Neath,26ilvvgth36hmq6lgq8cy5cb5,Wales,181.0,76.0,Male,active,left,26.0,2018,1702.0
