,id,firstName,lastName,matchName,type,position,lastUpdated,nationality,nationalityId,dateOfBirth,placeOfBirth,countryOfBirthId,countryOfBirth,height,weight,gender,status,foot,age,lastUpdated_year,minutesPlayed
26104,wo91ycisyie6qno6vbkcxuj9,David Junior,Hoilett,J. Hoilett,player,Attacker,2018-12-08 16:33:36,Canada,1iaoypzp6syf32cz9l15pzp7e,1990-06-05 00:00:00,Brampton,1iaoypzp6syf32cz9l15pzp7e,Canada,173.0,70.0,Male,active,right,29.0,2018,1083.0
41329,1acxqg149yxlstqmoclkkzdud,Souleymane,Bamba,S. Bamba,player,Defender,2018-12-08 14:03:14,Côte d'Ivoire,tin6kf561ywonqan0mettr98,1985-01-13 00:00:00,Ivry-sur-Seine,7gww28djs405rfga69smki84o,France,190.0,90.0,Male,active,right,34.0,2018,1350.0
9963,5v90gur842qgbmzdo1s8l97th,Kadeem,Harris,K. Harris,player,Midfielder,2018-12-08 16:47:26,England,1fk5l4hkqk12i7zske6mcqju6,1993-06-08 00:00:00,London,1fk5l4hkqk12i7zske6mcqju6,England,175.0,67.0,Male,active,right,26.0,2018,319.0
16003,c870j6z43pymtc2coh1nka7kl,Danny,Ward,D. Ward,player,Attacker,2018-11-30 19:01:54,England,1fk5l4hkqk12i7zske6mcqju6,1990-12-09 00:00:00,Bradford,1fk5l4hkqk12i7zske6mcqju6,England,180.0,88.0,Male,active,right,29.0,2018,356.0
16230,ch8dgambei1xbzmikkglg3c9h,Bobby,Reid,B. Reid,player,Midfielder,2018-12-08 14:02:14,England,1fk5l4hkqk12i7zske6mcqju6,1993-02-02 00:00:00,Bristol,1fk5l4hkqk12i7zske6mcqju6,England,170.0,68.0,Male,active,right,26.0,2018,739.0
19133,78bz00gsla4dxb75xus4h1yad,Joe,Bennett,J. Bennett,player,Defender,2018-12-08 16:31:16,England,1fk5l4hkqk12i7zske6mcqju6,1990-03-28 00:00:00,Rochdale,1fk5l4hkqk12i7zske6mcqju6,England,177.0,74.0,Male,active,left,29.0,2018,990.0
21616,928zv450244a8ottxqjl69syd,Sean,Morrison,S. Morrison,player,Defender,2018-12-08 15:31:17,England,1fk5l4hkqk12i7zske6mcqju6,1991-01-08 00:00:00,Plymouth,1fk5l4hkqk12i7zske6mcqju6,England,194.0,77.0,Male,active,right,28.0,2018,1420.0
27767,5mzacrq2j1t7odsavhxirxt5h,Joe,Ralls,J. Ralls,player,Midfielder,2018-12-08 17:01:24,England,1fk5l4hkqk12i7zske6mcqju6,1993-10-12 00:00:00,Aldershot,1fk5l4hkqk12i7zske6mcqju6,England,178.0,70.0,Male,active,left,26.0,2018,997.0
31367,4z5onwcaou5pjcz3kxncn8wl,Josh,Murphy,Josh Murphy,player,Midfielder,2018-12-08 16:47:33,England,1fk5l4hkqk12i7zske6mcqju6,1995-02-24 00:00:00,London,1fk5l4hkqk12i7zske6mcqju6,England,173.0,67.0,Male,active,left,24.0,2018,903.0
147,exj84xvdmkjh2jnqjfeuaqcph,Bruno,Écuélé Manga,B. Écuélé Manga,player,Defender,2018-12-08 14:03:10,Gabon,6jfjrlsdz5ns00g4gvk9a6xav,1988-07-16 00:00:00,Libreville,6jfjrlsdz5ns00g4gvk9a6xav,Gabon,186.0,76.0,Male,active,both,31.0,2018,1530.0
1769,3yyipm8f8tlrvcgalq2t056mt,Aron Einar,Gunnarsson,A. Gunnarsson,player,Midfielder,2018-12-08 14:03:09,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,1989-04-22 00:00:00,Akureyri,4jjsm5a20nnxgw5cus6b7yxc6,Iceland,177.0,95.0,Male,active,right,30.0,2018,780.0
5772,4lra0j6pggs2q6yhykoizcfkl,Neil Leonard,Dula Etheridge,N. Etheridge,player,Goalkeeper,2018-12-08 14:03:16,Philippines,2bn52u7dpgfatwqumx224cczx,1990-02-07 00:00:00,Enfield,1fk5l4hkqk12i7zske6mcqju6,England,188.0,90.0,Male,active,right,29.0,2018,1440.0
17228,7wszt902zacjiowtpqtgk9hhx,Greg,Cunningham,G. Cunningham,player,Defender,2018-11-24 14:04:02,Republic of Ireland,63nepb66un7juhglo2g6rezcl,1991-01-31 00:00:00,Galway,63nepb66un7juhglo2g6rezcl,Republic of Ireland,183.0,70.0,Male,active,left,28.0,2018,450.0
42192,bc0xr30uxu4ppotxy8qe4f5cl,Harry,Arter,H. Arter,player,Midfielder,2018-12-08 17:01:20,Republic of Ireland,63nepb66un7juhglo2g6rezcl,1989-12-28 00:00:00,Eltham,63nepb66un7juhglo2g6rezcl,Republic of Ireland,176.0,70.0,Male,active,left,30.0,2018,1236.0
37786,btey8i9vnkak8ww7diqnb8lat,Callum,Paterson,C. Paterson,player,Defender,2018-12-08 16:32:29,Scotland,1xf68d0a8lnnq30hnnn8kr6ut,1994-10-13 00:00:00,London,1fk5l4hkqk12i7zske6mcqju6,England,183.0,76.0,Male,active,right,25.0,2018,1250.0
34432,bnhshub1crv2etw0fm7w67zdh,Víctor,Camarasa Ferrando,Víctor Camarasa,player,Midfielder,2018-12-08 14:03:22,Spain,49ih1pwv3ahshdf8uzrimi54c,1994-05-28 00:00:00,Meliana,49ih1pwv3ahshdf8uzrimi54c,Spain,183.0,76.0,Male,active,right,25.0,2018,1386.0
