0,Lille OSC Métropole
1,Chelsea FC
2,FC Shakhtar Donetsk
3,SL Benfica
4,Paris Saint-Germain FC
5,GNK Dinamo Zagreb
6,FC Internazionale Milano
7,Real Madrid CF
8,Chelsea FC Under 19
9,Borussia VfL Mönchengladbach
10,Everton FC
11,Boulogne-sur-Mer Côte d'Opale II
12,US Boulogne-sur-Mer Côte d'Opale
13,Stade Malherbe Caen
14,Leicester City FC
15,Tours FC
16,Montpellier HSC
17,Arsenal FC
18,VfB Stuttgart 1893
19,AS Roma
20,AC Sambonifacese
21,Hellas Verona FC
22,SSC Napoli
23,FC Barcelona
24,Athletic Club Bilbao
25,Athletic Club Bilbao Under 19
26,Real Valladolid Club de Fútbol
27,Bolton Wanderers FC
28,ACF Fiorentina
29,CA Osasuna
30,Olympique de Marseille
31,Juventus FC
