,matchName,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019
0,E. Hazard,Lille OSC Métropole (nan),Lille OSC Métropole (nan),Lille OSC Métropole (nan),Chelsea FC (Transfer),Chelsea FC (Transfer),Chelsea FC (Transfer),Chelsea FC (Transfer),Chelsea FC (Transfer),Chelsea FC (Transfer),Chelsea FC (Transfer)
1,Willian,FC Shakhtar Donetsk (Transfer),FC Shakhtar Donetsk (Transfer),FC Shakhtar Donetsk (Transfer),FC Shakhtar Donetsk (Transfer),Chelsea FC (Transfer),Chelsea FC (Transfer),Chelsea FC (Transfer),Chelsea FC (Transfer),Chelsea FC (Transfer),Chelsea FC (Transfer)
2,David Luiz,SL Benfica (Transfer),SL Benfica (Transfer),Chelsea FC (Transfer),Chelsea FC (Transfer),Chelsea FC (Transfer),Paris Saint-Germain FC (Transfer),Paris Saint-Germain FC (Transfer),Chelsea FC (Transfer),Chelsea FC (Transfer),Chelsea FC (Transfer)
3,M. Kovačić,/,GNK Dinamo Zagreb (nan),GNK Dinamo Zagreb (nan),GNK Dinamo Zagreb (nan),FC Internazionale Milano (Transfer),FC Internazionale Milano (Transfer),Real Madrid CF (Transfer),Real Madrid CF (Transfer),Real Madrid CF (Transfer),Chelsea FC (Loan)
4,Andreas Christensen,/,/,/,Chelsea FC Under 19 (Transfer),Chelsea FC (Unknown),Chelsea FC (Unknown),Borussia VfL Mönchengladbach (Loan),Borussia VfL Mönchengladbach (Loan),Chelsea FC (Back from Loan),Chelsea FC (Back from Loan)
5,R. Barkley,/,Everton FC (Transfer),Everton FC (Transfer),Everton FC (Back from Loan),Everton FC (Back from Loan),Everton FC (Back from Loan),Everton FC (Back from Loan),Everton FC (Back from Loan),/,Chelsea FC (Transfer)
6,N. Kanté,/,/,Boulogne-sur-Mer Côte d'Opale II (nan),US Boulogne-sur-Mer Côte d'Opale (Transfer),Stade Malherbe Caen (Free Transfer),Stade Malherbe Caen (Free Transfer),Leicester City FC (Transfer),Chelsea FC (Transfer),Chelsea FC (Transfer),Chelsea FC (Transfer)
7,O. Giroud,Tours FC (Transfer),Montpellier HSC (Transfer),Montpellier HSC (Transfer),Arsenal FC (Transfer),Arsenal FC (Transfer),Arsenal FC (Transfer),Arsenal FC (Transfer),Arsenal FC (Transfer),Arsenal FC (Transfer),Chelsea FC (Transfer)
8,A. Rüdiger,/,/,VfB Stuttgart 1893 (Transfer),VfB Stuttgart 1893 (Transfer),VfB Stuttgart 1893 (Transfer),VfB Stuttgart 1893 (Transfer),AS Roma (Loan),AS Roma (Transfer),Chelsea FC (Transfer),Chelsea FC (Transfer)
9,Jorginho,/,AC Sambonifacese (nan),Hellas Verona FC (Transfer),Hellas Verona FC (Transfer),Hellas Verona FC (Transfer),SSC Napoli (Transfer),SSC Napoli (Transfer),SSC Napoli (Transfer),SSC Napoli (Transfer),Chelsea FC (Transfer)
10,Fàbregas,Arsenal FC (Transfer),Arsenal FC (Transfer),FC Barcelona (Transfer),FC Barcelona (Transfer),FC Barcelona (Transfer),Chelsea FC (Transfer),Chelsea FC (Transfer),Chelsea FC (Transfer),Chelsea FC (Transfer),Chelsea FC (Transfer)
11,Kepa,/,/,Athletic Club Bilbao (nan),Athletic Club Bilbao Under 19 (Transfer),Athletic Club Bilbao (nan),Athletic Club Bilbao (nan),Real Valladolid Club de Fútbol (Loan),Athletic Club Bilbao (Back from Loan),Athletic Club Bilbao (Back from Loan),Chelsea FC (Transfer)
12,Marcos Alonso,Real Madrid CF (nan),Bolton Wanderers FC (Transfer),Bolton Wanderers FC (Transfer),Bolton Wanderers FC (Transfer),ACF Fiorentina (Free Transfer),ACF Fiorentina (Back from Loan),ACF Fiorentina (Back from Loan),Chelsea FC (Transfer),Chelsea FC (Transfer),Chelsea FC (Transfer)
13,Azpilicueta,CA Osasuna (Transfer),Olympique de Marseille (Transfer),Olympique de Marseille (Transfer),Chelsea FC (Transfer),Chelsea FC (Transfer),Chelsea FC (Transfer),Chelsea FC (Transfer),Chelsea FC (Transfer),Chelsea FC (Transfer),Chelsea FC (Transfer)
14,Álvaro Morata,/,Real Madrid CF (Transfer),Real Madrid CF (Transfer),Real Madrid CF (Transfer),Real Madrid CF (Transfer),Juventus FC (Transfer),Juventus FC (Transfer),Real Madrid CF (Transfer),Chelsea FC (Transfer),Chelsea FC (Transfer)
15,Pedro,FC Barcelona (Transfer),FC Barcelona (Transfer),FC Barcelona (Transfer),FC Barcelona (Transfer),FC Barcelona (Transfer),FC Barcelona (Transfer),Chelsea FC (Transfer),Chelsea FC (Transfer),Chelsea FC (Transfer),Chelsea FC (Transfer)
