,matchName,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019
0,D. Odoi,Sint-Truidense VV (nan),Sint-Truidense VV (nan),RSC Anderlecht (Transfer),RSC Anderlecht (Transfer),KSC Lokeren Oost-Vlaanderen (Transfer),KSC Lokeren Oost-Vlaanderen (Transfer),KSC Lokeren Oost-Vlaanderen (Transfer),Fulham FC (Transfer),Fulham FC (Transfer),Fulham FC (Transfer)
1,A. Zambo Anguissa,/,/,/,/,/,Stade de Reims (Transfer),Olympique de Marseille II (Transfer),Olympique de Marseille (Free Transfer),Olympique de Marseille (Free Transfer),Fulham FC (Transfer)
2,J. Seri,/,AS des Employés de Commerce Mimosas (nan),AS des Employés de Commerce Mimosas (nan),/,FC Paços de Ferreira (Free Transfer),FC Paços de Ferreira (Free Transfer),OGC Nice Côte d'Azur (Transfer),OGC Nice Côte d'Azur (Transfer),OGC Nice Côte d'Azur (Transfer),Fulham FC (Transfer)
3,R. Sessegnon,/,/,/,/,/,/,/,Fulham FC (Transfer),Fulham FC (Transfer),Fulham FC (Transfer)
4,M. O'Riley,/,/,/,/,/,/,/,Fulham FC Under 18 (nan),Fulham FC (Transfer),Fulham FC (Transfer)
5,C. Chambers,/,/,/,Southampton FC (Transfer),Southampton FC (Transfer),Arsenal FC (Transfer),Arsenal FC (Transfer),Middlesbrough FC (Loan),Arsenal FC (Back from Loan),Fulham FC (Loan)
6,L. Ashby-Hammond,/,/,/,/,/,/,/,Fulham FC Under 18 (Transfer),Fulham FC Under 18 (Transfer),Fulham FC (Transfer)
7,A. Mawson,/,Brentford FC (nan),Brentford FC (nan),Maidenhead United FC (Loan),Luton Town FC (Loan),Wycombe Wanderers FC (Loan),Barnsley FC (Free Transfer),Swansea City AFC (Transfer),Swansea City AFC (Transfer),Fulham FC (Transfer)
8,M. Le Marchand,Le Havre AC (Transfer),Le Havre AC (Transfer),Le Havre AC (Transfer),Le Havre AC (Transfer),Le Havre AC (Transfer),Le Havre AC (Transfer),OGC Nice Côte d'Azur (Transfer),OGC Nice Côte d'Azur (Transfer),OGC Nice Côte d'Azur (Transfer),Fulham FC (Transfer)
9,A. Schürrle,1. FSV Mainz 05 (Transfer),1. FSV Mainz 05 (Transfer),Bayer 04 Leverkusen (Transfer),Bayer 04 Leverkusen (Transfer),Chelsea FC (Transfer),Chelsea FC (Transfer),VfL Wolfsburg (Transfer),BV Borussia 09 Dortmund (Transfer),BV Borussia 09 Dortmund (Transfer),Fulham FC (Loan)
10,S. Johansen,FK Bodø / Glimt (Transfer),/,Strømsgodset IF (Free Transfer),Strømsgodset IF (Free Transfer),Strømsgodset IF (Free Transfer),Celtic FC (Transfer),Celtic FC (Transfer),Fulham FC (Transfer),Fulham FC (Transfer),Fulham FC (Transfer)
11,C. Christie,/,Coventry City FC (nan),Coventry City FC (Back from Loan),Coventry City FC (Back from Loan),Coventry City FC (Back from Loan),Derby County FC (Transfer),Derby County FC (Transfer),Derby County FC (Transfer),Middlesbrough FC (Transfer),Fulham FC (Transfer)
12,K. McDonald,Burnley FC (Transfer),Burnley FC (Back from Loan),Sheffield United FC (Free Transfer),Sheffield United FC (Free Transfer),Wolverhampton Wanderers FC (Transfer),Wolverhampton Wanderers FC (Transfer),Wolverhampton Wanderers FC (Transfer),Fulham FC (Transfer),Fulham FC (Transfer),Fulham FC (Transfer)
13,T. Cairney,Hull City AFC (Transfer),Hull City AFC (Transfer),Hull City AFC (Transfer),Hull City AFC (Transfer),Blackburn Rovers FC (Loan),Blackburn Rovers FC (Transfer),Fulham FC (Transfer),Fulham FC (Transfer),Fulham FC (Transfer),Fulham FC (Transfer)
14,A. Mitrović,/,/,FK Teleoptik Zemun (Transfer),FK Partizan Beograd (Free Transfer),RSC Anderlecht (Transfer),RSC Anderlecht (Transfer),Newcastle United FC (Transfer),Newcastle United FC (Transfer),Newcastle United FC (Transfer),Fulham FC (Transfer)
15,Sergio Rico,/,Sevilla Atlético (nan),Sevilla FC (Unknown),Sevilla FC (Unknown),Sevilla FC (Unknown),Sevilla FC (Unknown),Sevilla FC (Unknown),Sevilla FC (Unknown),Sevilla FC (Unknown),Fulham FC (Transfer)
