,id,firstName,lastName,matchName,type,position,lastUpdated,nationality,nationalityId,dateOfBirth,placeOfBirth,countryOfBirthId,countryOfBirth,height,weight,gender,status,foot,age,lastUpdated_year,minutesPlayed
34642,axicg3mdtrur97rjz423pl8t1,Aaron,Mooy,A. Mooy,player,Midfielder,2018-12-08 14:03:16,Australia,u5ieemi69z72c3bgczyy68lo,1990-09-15 00:00:00,Sydney,u5ieemi69z72c3bgczyy68lo,Australia,174.0,68.0,Male,active,right,29.0,2018,1344.0
12654,b9wew8z92aj36vvxfj3q7kxcl,Laurent,Depoitre,L. Depoitre,player,Attacker,2018-12-08 14:03:15,Belgium,4wbzjcclyefma1ourvjsu4q2j,1988-12-07 00:00:00,Tournai,4wbzjcclyefma1ourvjsu4q2j,Belgium,191.0,91.0,Male,active,right,31.0,2018,848.0
29215,87d73x3gkomc4soukr5uweqc5,Isaac,Mbenza,I. Mbenza,player,Attacker,2018-12-08 14:02:16,Belgium,4wbzjcclyefma1ourvjsu4q2j,1996-03-08 00:00:00,Saint-Denis,7gww28djs405rfga69smki84o,France,187.0,77.0,Male,active,right,23.0,2018,299.0
12694,5yg9ljo5pf1lo2xk74d0k240l,Steve,Mounié,S. Mounié,player,Attacker,2018-12-01 15:47:21,Benin,3o5wco7tkqgfmys9exmt5fo2h,1994-09-29 00:00:00,Parakou,3o5wco7tkqgfmys9exmt5fo2h,Benin,190.0,83.0,Male,active,right,25.0,2018,784.0
6103,az767vfe6ig8vwir9uu2eu3th,Elias,Kachunga,E. Kachunga,player,Attacker,2018-12-08 14:02:12,Congo DR,6xq2smnxqvc5bh7vzza9ljiy9,1992-04-22 00:00:00,Haan,36min0qztu8eydwvpv8t1is0m,Germany,178.0,74.0,Male,active,right,27.0,2018,245.0
22616,45zetxtrvjb3muvcrr9b5it3p,Mathias,Jattah-Njie Jørgensen,M. Jørgensen,player,Defender,2018-12-08 14:03:16,Denmark,5adf60vwiw2f2mibyq1k4ex7i,1990-04-23 00:00:00,København,5adf60vwiw2f2mibyq1k4ex7i,Denmark,191.0,79.0,Male,active,right,29.0,2018,1608.0
33755,41ii5y9ebz5e3xhaif9kc8qmt,Jonas,Lössl,J. Lössl,player,Goalkeeper,2018-12-08 14:03:18,Denmark,5adf60vwiw2f2mibyq1k4ex7i,1989-02-01 00:00:00,Kolding,5adf60vwiw2f2mibyq1k4ex7i,Denmark,195.0,89.0,Male,active,right,30.0,2018,1337.0
41399,33cny48k38nlo8pcx3i24ldqt,Philip,Billing,P. Billing,player,Midfielder,2018-12-04 21:31:29,Denmark,5adf60vwiw2f2mibyq1k4ex7i,1996-06-11 00:00:00,,5adf60vwiw2f2mibyq1k4ex7i,Denmark,193.0,83.0,Male,active,left,23.0,2018,1303.0
4701,1l12v8lx25ipy5obp0wcfkr11,Alex,Pritchard,A. Pritchard,player,Midfielder,2018-12-08 15:46:15,England,1fk5l4hkqk12i7zske6mcqju6,1993-05-03 00:00:00,Orsett,1fk5l4hkqk12i7zske6mcqju6,England,171.0,62.0,Male,active,both,26.0,2018,997.0
31454,7btmjzlihczblbm55jtopzg0l,Jonathan,Hogg,J. Hogg,player,Midfielder,2018-12-08 16:17:05,England,1fk5l4hkqk12i7zske6mcqju6,1988-12-06 00:00:00,Middlesbrough,1fk5l4hkqk12i7zske6mcqju6,England,170.0,67.0,Male,active,right,31.0,2018,1002.0
35755,3v6c5omsqug2bw3l8507fxbrp,Tom,Smith,T. Smith,player,Defender,2018-12-08 16:33:30,England,1fk5l4hkqk12i7zske6mcqju6,1992-04-14 00:00:00,Warrington,1fk5l4hkqk12i7zske6mcqju6,England,186.0,75.0,Male,active,right,27.0,2018,357.0
849,33fgyncy5k2ohl053cy8twvkl,Erik,Durm,E. Durm,player,Defender,2018-12-08 16:33:50,Germany,36min0qztu8eydwvpv8t1is0m,1992-05-12 00:00:00,Pirmasens,36min0qztu8eydwvpv8t1is0m,Germany,183.0,72.0,Male,active,right,27.0,2018,876.0
9205,bb24pydi3hsy5uvqg9i09b1ed,Christopher,Schindler,C. Schindler,player,Defender,2018-12-08 14:03:12,Germany,36min0qztu8eydwvpv8t1is0m,1990-04-29 00:00:00,München,36min0qztu8eydwvpv8t1is0m,Germany,189.0,82.0,Male,active,right,29.0,2018,1511.0
36147,ezkzz0hfih8gq05vfvnt2kvyt,Chris,Löwe,C. Löwe,player,Defender,2018-12-08 14:03:13,Germany,36min0qztu8eydwvpv8t1is0m,1989-04-16 00:00:00,Plauen,36min0qztu8eydwvpv8t1is0m,Germany,175.0,68.0,Male,active,left,30.0,2018,1025.0
33605,b486fhu2s7pyi92yk1iczglp1,Terence,Kongolo,T. Kongolo,player,Defender,2018-12-08 14:03:18,Netherlands,6hzi5pltnz67q4la8yli9qfv6,1994-02-14 00:00:00,Fribourg,3bh70jgvc5mn58x0byjkuda17,Switzerland,188.0,70.0,Male,active,left,25.0,2018,1076.0
6136,bv9ejevyrwdqc1j5rw4tkiy1h,Florent,Hadergjonaj,F. Hadergjonaj,player,Defender,2018-12-08 16:33:43,Switzerland,3bh70jgvc5mn58x0byjkuda17,1994-07-31 00:00:00,Langnau,3bh70jgvc5mn58x0byjkuda17,Switzerland,182.0,73.0,Male,active,right,25.0,2018,1050.0
