0,SC Internacional
1,AS Roma
2,Liverpool FC
3,Figueirense FC
4,TSG 1899 Hoffenheim
5,GNK Dinamo Zagreb
6,Olympique Lyonnais
7,Southampton FC
8,Al Mokawloon Al Arab
9,FC Basel 1893
10,Chelsea FC
11,Liverpool FC Under 19
12,Sunderland AFC
13,Charlton Athletic FC
14,Aston Villa FC
15,Manchester City FC
16,Liverpool FC Under 18 Academy
17,Istres FC
18,FC Salzburg
19,Rasen Ballsport Leipzig
20,Feyenoord Rotterdam
21,PSV Eindhoven
22,Newcastle United FC
23,FC Groningen
24,Celtic FC
25,Queen's Park FC
26,Dundee United FC
27,Hull City AFC
28,FC Metz II
29,FC Bayern München
30,Stoke City FC
