,id,firstName,lastName,matchName,type,position,lastUpdated,nationality,nationalityId,dateOfBirth,placeOfBirth,countryOfBirthId,countryOfBirth,height,weight,gender,status,foot,age,lastUpdated_year,minutesPlayed
18998,exiribcpg9vnuq9ekhlk74dlh,Riyad,Mahrez,R. Mahrez,player,Midfielder,2018-12-08 19:19:37,Algeria,1ayprcriqhb8iv10ch70clppu,1991-02-21 00:00:00,Sarcelles,7gww28djs405rfga69smki84o,France,179.0,67.0,Male,active,left,28.0,2018,1221.0
2076,5ch5dk1z9opa2iwd64kb4e5sl,Sergio Leonel,Agüero del Castillo,S. Agüero,player,Attacker,2018-11-29 21:46:26,Argentina,2vovxa97k7v7ofa85dah2xktb,1988-06-02 00:00:00,Quilmes,2vovxa97k7v7ofa85dah2xktb,Argentina,173.0,70.0,Male,active,both,31.0,2018,1252.0
4369,chsswmw4oqo88xp7wmhjvgdsl,Vincent,Kompany,V. Kompany,player,Defender,2018-12-08 16:32:20,Belgium,4wbzjcclyefma1ourvjsu4q2j,1986-04-10 00:00:00,Uccle,4wbzjcclyefma1ourvjsu4q2j,Belgium,193.0,85.0,Male,active,right,33.0,2018,1011.0
18814,d66tmyj9pt69gub8pcjgo3bh1,Gabriel Fernando,de Jesus,Gabriel Jesus,player,Attacker,2018-12-08 18:47:58,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,1997-04-03 00:00:00,São Paulo,2vufyvpoxd9lfl9f6vpp7tz6y,Brazil,175.0,73.0,Male,active,right,22.0,2018,949.0
22132,c3wkdzkvjk3yuffgnnw42wrf9,Fernando Luiz,Rosa,Fernandinho,player,Midfielder,2018-12-08 16:33:30,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,1985-05-04 00:00:00,Londrina,2vufyvpoxd9lfl9f6vpp7tz6y,Brazil,179.0,67.0,Male,active,both,34.0,2018,1939.0
30766,23637o19ff0sw18pqv8g96ndh,Ederson,Santana de Moraes,Ederson Moraes,player,Goalkeeper,2018-12-08 16:33:39,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,1993-08-17 00:00:00,Osasco,2vufyvpoxd9lfl9f6vpp7tz6y,Brazil,188.0,86.0,Male,active,left,26.0,2018,1890.0
27185,3gem1jrrkgye0omb88fk1lsk5,John,Stones,J. Stones,player,Defender,2018-12-08 16:33:35,England,1fk5l4hkqk12i7zske6mcqju6,1994-05-28 00:00:00,Barnsley,1fk5l4hkqk12i7zske6mcqju6,England,188.0,70.0,Male,active,right,25.0,2018,1810.0
34742,e9wu8dcamrtj3ftbx3nmhusid,Kyle,Walker,K. Walker,player,Defender,2018-12-08 16:33:41,England,1fk5l4hkqk12i7zske6mcqju6,1990-05-28 00:00:00,Sheffield,1fk5l4hkqk12i7zske6mcqju6,England,178.0,70.0,Male,active,right,29.0,2018,1795.0
43067,e9l5r0txzrjbenli05rn3k4wl,Raheem Shaquille,Sterling,R. Sterling,player,Attacker,2018-12-08 16:33:32,England,1fk5l4hkqk12i7zske6mcqju6,1994-12-08 00:00:00,Kingston,gimxu1vjwoa2xrecyd9gtyoc,Jamaica,170.0,69.0,Male,active,both,25.0,2018,1830.0
26734,7fmpgkx58o9pivo2bbnxxkt05,Aymeric,Laporte,A. Laporte,player,Defender,2018-12-08 16:33:45,France,7gww28djs405rfga69smki84o,1994-05-27 00:00:00,Agen,7gww28djs405rfga69smki84o,France,191.0,86.0,Male,active,left,25.0,2018,1888.0
34186,47zyjwv31a878u1r1dgm3iwo9,Claudio,Gomes,C. Gomes,player,Midfielder,2018-12-07 18:47:03,France,7gww28djs405rfga69smki84o,2000-07-23 00:00:00,,7gww28djs405rfga69smki84o,France,,,Male,active,,19.0,2018,1348.0
38513,9q1pgu6p4wcn9qg4idxsipql1,Benjamin,Mendy,B. Mendy,player,Defender,2018-11-29 21:46:26,France,7gww28djs405rfga69smki84o,1994-07-17 00:00:00,Longjumeau,7gww28djs405rfga69smki84o,France,185.0,85.0,Male,active,left,25.0,2018,1018.0
19454,4603xrdk721lqhd1ejn62x5n9,Leroy,Sané,L. Sané,player,Attacker,2018-12-08 18:47:58,Germany,36min0qztu8eydwvpv8t1is0m,1996-01-11 00:00:00,Essen,36min0qztu8eydwvpv8t1is0m,Germany,183.0,75.0,Male,active,left,23.0,2018,1353.0
23435,b3974hgsmyff5xtq7qf1onhlh,Bernardo,Mota Veiga de Carvalho e Silva,Bernardo Silva,player,Midfielder,2018-12-08 16:33:38,Portugal,1nbm5i9a0403zzvltn17lxinc,1994-08-10 00:00:00,Lisboa,1nbm5i9a0403zzvltn17lxinc,Portugal,173.0,64.0,Male,active,left,25.0,2018,1812.0
28813,13ll29mtf7pxwz1yf0i40tsd1,David Josué,Jiménez Silva,David Silva,player,Midfielder,2018-12-08 19:03:52,Spain,49ih1pwv3ahshdf8uzrimi54c,1986-01-08 00:00:00,Arguineguín,49ih1pwv3ahshdf8uzrimi54c,Spain,173.0,67.0,Male,active,left,33.0,2018,1577.0
39082,b7l20ljluxk74v0ok82s0iz56,Adrian,Bernabe Garcia,Adrian Bernabe,player,Midfielder,2018-12-05 22:16:49,Spain,49ih1pwv3ahshdf8uzrimi54c,2001-05-26 00:00:00,,49ih1pwv3ahshdf8uzrimi54c,Spain,,,Male,active,,18.0,2018,940.0
